Date,Product_Category,Units_Sold,Unit_Price,Revenue
2026-01-01,Electronics,12,150,1800
2026-01-02,Electronics,15,150,2250
2026-01-03,Electronics,22,150,3300
2026-01-04,Electronics,28,150,4200
2026-01-05,Electronics,10,150,1500
2026-01-06,Electronics,9,150,1350
2026-01-07,Electronics,14,150,2100
2026-01-08,Electronics,18,150,2700
2026-01-09,Electronics,20,150,3000
2026-01-10,Electronics,35,150,5250
2026-01-11,Electronics,40,150,6000
2026-01-12,Electronics,12,150,1800
2026-01-13,Electronics,11,150,1650
2026-01-14,Electronics,15,150,2250
2026-01-15,Electronics,19,150,2850
2026-01-16,Electronics,22,150,3300
2026-01-17,Electronics,38,150,5700
2026-01-18,Electronics,45,150,6750
2026-01-19,Electronics,14,150,2100
2026-01-20,Electronics,13,150,1950
2026-01-21,Electronics,16,150,2400
2026-01-22,Electronics,20,150,3000
2026-01-23,Electronics,25,150,3750
2026-01-24,Electronics,42,150,6300
2026-01-25,Electronics,50,150,7500
2026-01-26,Electronics,18,150,2700
2026-01-27,Electronics,15,150,2250
2026-01-28,Electronics,20,150,3000
